Sample#,Sepal. Length,Sepal.Width,Petal.Length^%$#,Petal.Width,Date.collected,lol what is this column even doing here,useless $*^#ing column,Species
1,5.1,3.5,1.4,0.2,6/04/2022,,1,setosa
2,4.9,3,1.4,0.2,7/04/2022,,1,setosa
2,4.9,3,1.4,0.2,7/04/2022,,1,setosa
3,4.7,3.2,1.3,0.2,9/04/2022,,1,setosa
4,4.6,3.1,1.5,0.2,10/04/2022,,1,setosa
5,5,3.6,1.4,0.2,11/04/2022,,1,setosa
6,5.4,3.9,1.7,0.4,12/04/2022,,1,setosas
7,4.6,3.4,1.4,0.3,13/04/2022,,1,Setosa
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,5,3.4,1.5,0.2,14/04/2022,,1,setosa
9,4.4,2.9,1.4,0.2,15/04/2022,,1,setosa
10,4.9,3.1,1.5,0.1,16/04/2022,,1,setosa
11,5.4,3.7,1.5,0.2,17/04/2022,,1,setosa
12,4.8,3.4,1.6,0.2,18/04/2022,,1,setosa
13,4.8,3,1.4,0.1,19/04/2022,,1,setosa
14,4.3,3,1.1,0.1,20/04/2022,,1,setosa
15,5.8,4,1.2,0.2,21/04/2022,,1,setosa
16,5.7,4.4,1.5,0.4,22/04/2022,,1,setosa
17,5.4,3.9,1.3,0.4,23/04/2022,,1,setosa
18,5.1,3.5,1.4,0.3,24/04/2022,,1,setosa
19,5.7,3.8,1.7,0.3,25/04/2022,,1,setosa
20,5.1,3.8,1.5,0.3,26/04/2022,,1,setosa
21,5.4,3.4,1.7,0.2,27/04/2022,,1,setosa
22,5.1,3.7,1.5,0.4,28/04/2022,,1,setosa
23,4.6,3.6,1,0.2,29/04/2022,,1,setosa
24,5.1,3.3,1.7,0.5,30/04/2022,,1,setosa
25,4.8,3.4,1.9,0.2,1/05/2022,,1,setosa
26,5,3,1.6,0.2,2/05/2022,,1,setosa
27,5,3.4,1.6,0.4,3/05/2022,,1,setosa
28,5.2,3.5,1.5,0.2,4/05/2022,,1,setosa
29,5.2,3.4,1.4,0.2,5/05/2022,,1,setosa
30,4.7,3.2,1.6,0.2,6/05/2022,,1,setosa
31,4.8,3.1,1.6,0.2,7/05/2022,,1,setosa
32,5.4,3.4,1.5,0.4,8/05/2022,,1,setosa
33,5.2,4.1,1.5,0.1,9/05/2022,,1,setosa
34,5.5,4.2,1.4,0.2,10/05/2022,,1,setosa
35,4.9,3.1,1.5,0.2,11/05/2022,,1,setosa
36,5,3.2,1.2,0.2,12/05/2022,,1,setosa
37,5.5,3.5,1.3,0.2,13/05/2022,,1,setosa
38,4.9,3.6,1.4,0.1,29/04/2022,,1,setosa
39,4.4,3,1.3,0.2,30/04/2022,,1,setosa
40,5.1,3.4,1.5,0.2,1/05/2022,,1,setosa
41,5,3.5,1.3,0.3,2/05/2022,,1,setosa
42,4.5,2.3,1.3,0.3,3/05/2022,,1,setosa
43,4.4,3.2,1.3,0.2,4/05/2022,,1,setosa
44,5,3.5,1.6,0.6,5/05/2022,,1,setosa
45,5.1,3.8,1.9,0.4,6/05/2022,,1,setosa
46,4.8,3,1.4,0.3,7/05/2022,,1,setosa
47,5.1,3.8,1.6,0.2,8/05/2022,,1,setosa
48,4.6,3.2,1.4,0.2,8/05/2022,,1,setosa
49,5.3,3.7,1.5,0.2,8/05/2022,,1,setosa
50,5,3.3,1.4,0.2,8/05/2022,,1,setosa
51,7,3.2,4.7,1.4,8/05/2022,,1,versicolor
52,6.4,3.2,4.5,1.5,8/05/2022,,1,versicolor
53,6.9,3.1,4.9,1.5,8/05/2022,,1,versicolor
54,5.5,2.3,4,1.3,8/05/2022,,1,versicolor
55,6.5,2.8,4.6,1.5,8/05/2022,,1,versicolor
56,5.7,2.8,4.5,1.3,8/05/2022,,1,versicolor
57,6.3,3.3,4.7,1.6,8/05/2022,,1,versicolor
58,4.9,2.4,3.3,1,8/05/2022,,1,versicolor
59,6.6,2.9,4.6,1.3,8/05/2022,,1,versicolor
60,5.2,2.7,3.9,1.4,8/05/2022,,1,versicolor
61,5,2,3.5,1,8/05/2022,,1,versicolor
62,5.9,3,4.2,1.5,8/05/2022,,1,versicolor
